,Price,Mileage,Age,Model_Camry,Model_Civic,Model_Corolla
280,26000,23935,2,0,1,0
281,19883,97409,4,1,0,0
282,17922,67547,7,0,1,0
283,26999,44674,1,1,0,0
284,21980,99921,4,1,0,0
285,24499,46664,2,0,0,0
286,12999,139015,8,0,0,1
287,18999,28390,3,0,1,0
288,17991,87040,9,1,0,0
289,20700,20389,3,0,1,0
290,26299,31424,3,0,0,0
291,13950,65750,9,0,0,1
292,23599,26687,3,0,1,0
293,18995,108360,4,0,1,0
294,29369,59939,2,0,0,0
295,24959,29510,2,1,0,0
296,19366,44838,8,1,0,0
297,24499,36630,2,0,0,1
298,18975,44428,2,0,0,1
299,21300,7714,1,0,0,1
300,34891,22133,1,0,0,0
301,26000,52947,3,0,0,0
302,27053,7523,2,0,1,0
303,5881,215000,15,0,1,0
304,30948,18280,2,0,0,0
305,29506,29622,2,0,0,0
306,13500,110319,7,0,0,1
307,28414,40500,3,0,0,0
308,25997,24942,1,0,0,1
309,23000,25506,2,0,1,0
310,15000,78127,10,0,1,0
311,7999,114426,19,1,0,0
312,20400,101156,6,0,1,0
313,13998,70725,10,0,0,0
314,22990,18470,6,0,0,0
315,25831,15629,2,0,1,0
316,27990,10860,2,0,1,0
317,16371,94992,8,0,0,0
318,15392,65696,9,0,1,0
319,29500,40829,2,1,0,0
320,16990,23501,4,0,0,1
321,25744,37699,4,1,0,0
322,16801,89295,4,0,0,1
323,19990,22369,5,0,0,1
324,26950,54002,3,0,0,0
325,14995,103385,10,1,0,0
326,22990,38398,5,0,0,0
327,11992,127534,10,0,1,0
328,25990,28368,3,0,0,0
329,32633,28739,2,0,0,0
330,30752,36001,3,1,0,0
331,7498,134000,17,0,0,0
332,7591,138772,16,0,1,0
333,11999,128677,10,1,0,0
334,24465,31017,3,1,0,0
335,23991,36857,4,0,1,0
336,8999,72278,16,1,0,0
337,21788,57873,5,0,1,0
338,5999,274166,14,0,0,0
339,23400,25463,1,0,1,0
340,24499,44331,3,0,1,0
341,13990,77856,11,0,0,0
342,22499,36395,3,0,0,1
343,21976,39388,3,0,0,1
344,22947,30200,1,0,0,1
345,23991,32190,1,0,0,1
346,30910,18951,2,0,0,0
347,19850,30200,4,0,1,0
348,22990,45789,5,0,1,0
349,21189,39561,3,0,0,1
350,19000,85892,5,1,0,0
351,17000,98806,4,0,0,1
352,22590,22590,6,0,0,0
353,14590,46015,13,0,1,0
354,14984,82866,8,1,0,0
355,30296,11336,2,0,0,0
356,30587,27232,1,0,0,0
357,26950,63900,4,0,0,0
358,21991,44729,4,0,0,1
359,24990,26170,5,0,0,0
360,25990,30269,3,0,0,0
361,24981,35764,2,0,0,1
362,24296,41531,3,0,1,0
363,20590,45112,7,0,1,0
364,27296,41212,3,0,0,0
365,29998,16435,2,0,0,0
366,22499,70811,4,1,0,0
367,23732,11219,2,0,0,1
368,19990,33428,5,0,0,1
369,28369,17739,1,1,0,0
370,8995,145296,14,0,0,0
371,23590,34523,6,0,0,0
372,23146,12398,1,0,0,1
373,26994,43788,4,1,0,0
374,20975,26930,4,0,0,1
375,19590,46607,8,0,0,0
376,33991,7053,1,0,0,1
377,23999,23014,4,0,0,0
378,24711,32106,2,0,0,1
379,24888,84166,4,0,0,0
380,23996,17474,6,0,0,0
381,39485,21094,1,1,0,0
382,31484,28043,2,0,0,0
383,15997,115241,8,1,0,0
384,13498,105720,10,0,1,0
385,26506,20202,2,0,1,0
386,24457,33957,2,0,1,0
387,23990,18427,5,0,1,0
388,17499,65721,7,0,1,0
389,19590,69401,8,0,0,0
390,21590,35854,5,1,0,0
391,25999,47888,5,0,0,0
392,29499,7724,1,0,1,0
393,24590,24020,3,0,0,1
394,31799,20212,0,0,1,0
395,26488,21755,1,0,1,0
396,14999,111850,10,0,0,0
397,25971,28506,4,0,0,0
398,26590,14731,3,0,1,0
399,27395,30919,3,1,0,0
400,20700,15017,2,0,0,1
401,20700,15017,2,0,0,1
402,21899,44519,2,0,0,1
403,31195,6123,1,1,0,0
404,26921,31931,2,0,1,0
405,3995,219888,19,1,0,0
406,21980,37359,5,0,1,0
407,26987,38115,3,0,0,0
408,25998,56580,3,1,0,0
409,28989,23421,1,0,1,0
410,14500,87690,7,0,0,0
411,14500,87690,7,0,0,0
412,24696,34647,3,0,1,0
413,22990,26198,5,0,1,0
414,27829,36413,4,0,0,0
415,27001,19149,2,0,1,0
416,4895,166164,22,0,1,0
417,16157,96596,6,0,0,0
418,22422,40164,2,0,0,1
419,25696,25537,2,0,1,0
420,23990,23963,6,0,1,0
421,20900,30533,2,0,0,1
422,20246,58418,2,0,0,1
423,16990,50342,10,0,1,0
424,18595,70990,5,0,0,1
425,24990,32440,4,0,1,0
426,18590,67271,10,0,0,0
427,24496,34585,3,0,1,0
428,25928,32588,3,1,0,0
429,27696,40746,2,0,0,0
430,21590,23782,6,0,1,0
431,20989,61228,2,0,0,1
432,27897,31502,3,1,0,0
433,27054,36742,3,0,0,0
434,19590,49835,6,0,0,1
435,23990,13652,6,0,1,0
436,29168,17526,1,1,0,0
437,25990,21835,2,0,1,0
438,8950,108270,13,0,1,0
439,24400,11761,3,0,1,0
440,25499,49687,5,0,0,0
441,21995,54406,3,0,1,0
442,9975,130441,13,0,1,0
443,24897,24342,4,1,0,0
444,29499,12935,1,0,1,0
445,24996,32624,3,0,1,0
446,7415,219656,9,0,1,0
447,25996,41542,3,0,0,0
448,21995,82312,4,1,0,0
449,24990,28615,5,0,0,0
450,29874,50954,1,1,0,0
451,20725,54856,5,0,0,1
452,13499,93360,10,0,0,1
453,22988,28134,3,0,1,0
454,33773,14193,1,0,0,0
455,19650,70296,7,0,0,0
456,27999,30913,2,1,0,0
457,20616,47871,2,0,0,1
458,17990,80476,12,0,0,0
459,22990,20295,7,0,0,0
460,24143,54556,3,0,1,0
461,30987,5049,1,1,0,0
462,22915,47147,2,1,0,0
463,29991,12155,1,1,0,0
464,27267,37064,2,0,0,0
465,13990,88995,12,0,0,1
466,28615,11420,1,1,0,0
467,26922,22857,2,1,0,0
468,23991,37949,2,0,0,1
469,19990,23212,3,0,0,1
470,28499,32475,2,0,0,0
471,24195,9489,1,0,0,1
472,32661,10893,1,0,0,0
473,24590,27965,4,0,1,0
